Date,Open,High,Low,Close,Adj Close,Volume
2016-08-01,CIV Rocks IV pebbles,CVII Rocks VI pebbles,CIV Rocks ,CVII Rocks IV pebbles,CV Rocks IV pebbles,170149200
2016-08-08,CVII Rocks V pebbles,CVIII Rocks IX pebbles,CVII Rocks I pebbles,CVIII Rocks I pebbles,CVI Rocks VII pebbles,124505800
2016-08-15,CVIII Rocks I pebbles,CX Rocks II pebbles,CVIII Rocks ,CIX Rocks III pebbles,CVII Rocks VIII pebbles,132371400
2016-08-22,CVIII Rocks VIII pebbles,CIX Rocks III pebbles,CVI Rocks III pebbles,CVI Rocks IX pebbles,CV Rocks IV pebbles,123605500
2016-08-29,CVI Rocks VI pebbles,CVIII Rocks ,CV Rocks V pebbles,CVII Rocks VII pebbles,CVI Rocks II pebbles,133000600
2016-09-05,CVII Rocks IX pebbles,CVIII Rocks VII pebbles,CIII Rocks I pebbles,CIII Rocks I pebbles,CI Rocks VII pebbles,168803700
2016-09-12,CII Rocks VI pebbles,CXVI Rocks I pebbles,CII Rocks V pebbles,CXIV Rocks IX pebbles,CXIII Rocks III pebbles,388228200
2016-09-19,CXV Rocks I pebbles,CXVI Rocks I pebbles,CXI Rocks V pebbles,CXII Rocks VII pebbles,CXI Rocks I pebbles,201095700
2016-09-26,CXI Rocks VI pebbles,CXIV Rocks VI pebbles,CXI Rocks V pebbles,CXIII Rocks ,CXI Rocks V pebbles,156384000
2016-10-03,CXII Rocks VII pebbles,CXIV Rocks V pebbles,CXII Rocks II pebbles,CXIV Rocks ,CXII Rocks V pebbles,126029400
2016-10-10,CXV Rocks ,CXVIII Rocks VI pebbles,CXIV Rocks VII pebbles,CXVII Rocks VI pebbles,CXVI Rocks ,208708400
2016-10-17,CXVII Rocks III pebbles,CXVIII Rocks II pebbles,CXIII Rocks VIII pebbles,CXVI Rocks V pebbles,CXV Rocks ,115531500
2016-10-24,CXVII Rocks ,CXVIII Rocks III pebbles,CXIII Rocks III pebbles,CXIII Rocks VII pebbles,CXII Rocks I pebbles,210225600
2016-10-31,CXIII Rocks VI pebbles,CXIV Rocks II pebbles,CVIII Rocks I pebbles,CVIII Rocks VIII pebbles,CVII Rocks III pebbles,156346500
2016-11-07,CX Rocks ,CXI Rocks VII pebbles,CV Rocks VIII pebbles,CVIII Rocks IV pebbles,CVII Rocks V pebbles,207019500
2016-11-14,CVII Rocks VII pebbles,CX Rocks V pebbles,CIV Rocks ,CX Rocks ,CIX Rocks I pebbles,198341400
2016-11-21,CX Rocks I pebbles,CXII Rocks IV pebbles,CX Rocks ,CXI Rocks VII pebbles,CX Rocks VIII pebbles,94132400
2016-11-28,CXI Rocks IV pebbles,CXII Rocks IV pebbles,CVIII Rocks VIII pebbles,CIX Rocks IX pebbles,CVIII Rocks IX pebbles,155500000
